alpha
0.40
0.57
0.43
0.54
0.44
0.45
0.34
0.46
0.08
0.34
0.50
0.45
0.37
0.23
0.51
0.29
0.54
0.26
0.48
-0.01
0.09
0.28
-0.06
0.54
0.41
0.39
0.23
0.53
0.44
0.17
0.46
0.37
0.11
0.10
0.57
0.39
0.69
0.12
0.16
0.66
0.61
0.49
0.46
-0.08
0.24
0.27
-0.02
0.69
0.27
0.25
0.17
0.64
0.46
0.69
0.46
0.30
0.13
0.39
0.49
0.26
0.17
0.32
0.42
0.34
0.53
0.56
0.29
0.21
0.18
0.16
0.21
0.38
0.40
0.29
0.39
0.31
0.21
0.09
0.48
0.41
0.30
0.40
0.07
0.27
0.63
0.26
0.35
0.12
0.27
0.33
0.59
0.55
0.54
0.36
0.46
0.07
0.43
0.58
0.69
0.45
0.48
0.41
0.29
0.40
0.35
0.55
0.33
0.17
0.27
0.17
0.02
0.48
0.30
0.37
0.16
0.18
0.22
0.46
0.48
0.56
0.31
0.21
0.37
0.30
-0.03
0.06
0.78
0.42
0.45
0.67
0.30
0.51
0.67
0.40
0.37
0.36
0.70
0.33
0.36
0.33
0.22
0.51
0.47
0.30
0.34
0.33
0.25
-0.03
0.40
0.20
0.45
0.33
0.19
0.36
0.35
0.47
0.27
0.84
0.44
0.51
0.43
0.28
0.13
0.24
0.42
0.15
0.71
0.23
0.49
0.25
0.29
0.56
0.47
0.24
0.50
0.65
0.08
0.11
0.03
0.38
0.16
0.36
0.42
0.39
0.27
0.32
0.48
0.51
0.35
0.25
0.53
0.35
0.37
0.43
0.60
0.28
0.54
0.49
0.39
0.34
0.61
0.29
0.67
0.56
0.24
0.27
0.23
0.49
0.28
0.20
0.35
0.41
0.26
0.34
0.38
0.33
0.17
0.46
0.37
0.43
0.32
0.22
0.24
0.36
0.56
0.14
0.26
0.43
0.68
0.53
0.41
0.23
0.10
0.53
0.44
0.50
0.25
0.42
0.77
0.71
0.23
0.10
0.41
0.24
0.31
0.22
0.48
0.38
0.35
0.26
0.65
0.19
0.38
0.36
0.46
0.49
0.45
0.62
0.66
0.54
0.11
0.29
0.22
0.50
0.54
0.36
0.49
0.36
0.26
0.21
0.44
0.21
0.25
-0.04
0.41
0.66
0.47
0.26
0.55
0.19
0.33
0.38
0.24
0.51
0.46
0.46
0.42
0.16
0.20
0.15
0.76
0.21
0.24
0.13
0.53
0.17
0.38
0.73
0.65
0.40
0.09
0.42
0.58
0.55
0.36
0.57
0.79
0.37
0.36
0.32
0.60
0.46
0.58
0.63
0.30
0.52
0.19
0.25
0.48
0.36
0.13
0.68
0.54
0.38
0.42
0.06
0.50
0.35
0.43
0.32
0.30
0.77
0.15
0.05
0.30
0.16
0.21
0.30
0.50
0.24
0.30
0.59
0.22
0.30
0.34
0.28
0.42
0.24
0.42
0.42
0.53
-0.01
0.43
0.38
0.43
0.38
0.42
0.25
0.39
0.33
0.46
0.26
0.20
0.29
0.33
0.26
0.50
0.21
0.56
0.56
0.23
0.40
0.30
0.44
0.22
0.38
0.53
0.43
0.29
0.20
0.45
0.32
0.64
0.18
0.44
0.38
0.47
0.27
0.22
0.58
0.29
0.34
0.60
0.41
0.38
0.48
0.25
0.38
0.38
0.59
0.16
0.44
0.50
0.35
0.50
0.27
0.25
0.27
0.33
0.66
0.67
0.44
0.54
-0.05
0.32
0.25
0.38
0.23
-0.13
0.58
0.33
0.32
0.24
0.09
0.65
0.53
0.49
0.78
0.44
0.08
0.38
0.40
0.45
0.44
0.43
0.34
0.62
0.47
0.54
0.28
0.32
0.29
0.52
0.31
0.47
0.50
0.17
0.44
0.15
0.30
0.17
0.38
0.50
0.66
0.64
0.63
0.66
0.39
0.36
0.30
0.46
0.24
0.55
0.26
0.61
0.19
-0.08
0.12
0.27
0.10
0.63
0.52
0.32
0.61
0.45
0.66
0.29
0.46
0.55
0.34
0.42
0.36
0.61
0.16
0.34
0.45
0.11
0.39
0.38
0.36
0.34
0.77
0.20
0.43
0.32
0.43
0.48
0.35
0.32
0.52
0.46
0.42
0.55
0.51
0.46
0.57
0.60
0.33
0.55
0.28
0.29
0.42
0.23
0.22
0.38
0.37
0.33
0.54
0.16
0.41
0.36
0.57
0.49
0.19
0.38
0.35
0.55
0.52
0.46
0.20
0.48
0.44
0.50
0.34
0.40
0.53
0.73
0.36
0.36
0.75
0.18
0.16
0.41
0.43
0.62
0.50
0.64
0.32
0.39
0.23
0.23
0.30
0.37
0.39
0.39
0.35
0.13
0.38
0.32
0.38
0.46
0.66
0.34
0.20
0.34
0.31
0.43
0.23
0.28
0.09
0.30
0.00
0.36
0.43
0.02
0.43
0.43
0.46
0.30
0.48
0.55
0.41
0.41
0.45
0.47
0.33
0.36
0.18
-0.08
0.20
0.58
0.32
0.69
0.34
0.17
0.52
0.34
0.40
0.28
0.49
0.41
0.42
0.52
0.39
0.22
0.26
0.27
0.37
0.46
-0.07
0.21
0.40
0.33
0.10
0.38
0.42
0.53
0.63
0.25
0.48
0.45
0.27
0.57
0.33
0.36
0.35
0.49
0.40
0.27
0.37
0.50
0.30
0.36
0.46
0.26
0.37
0.47
0.40
0.39
0.38
0.31
0.55
0.53
0.36
0.38
0.44
0.39
0.44
0.50
0.37
0.18
0.31
0.12
0.50
0.35
0.38
0.45
0.46
0.35
0.11
0.37
0.19
0.25
0.61
0.20
0.39
0.50
0.43
0.38
0.27
0.58
0.47
0.52
0.47
0.20
0.40
0.18
0.30
0.37
0.63
0.33
0.36
0.25
0.30
0.50
0.15
0.28
0.53
0.38
0.44
0.31
0.16
0.28
0.26
0.39
0.56
0.38
0.39
0.54
0.40
0.31
0.69
0.33
0.52
0.32
0.64
0.54
0.35
0.49
0.52
0.35
0.44
0.48
0.55
0.26
0.56
0.37
0.21
0.42
0.47
0.31
0.38
0.29
0.23
0.13
0.58
0.39
0.44
0.34
0.68
0.28
0.43
0.34
0.50
0.69
0.56
0.29
0.25
0.34
0.45
0.63
0.48
0.26
0.47
0.31
0.86
0.09
0.51
0.67
0.37
0.21
0.39
0.26
0.64
0.53
0.21
0.17
-0.14
0.06
0.54
0.48
0.60
0.48
0.59
0.52
0.25
0.45
0.34
0.59
0.34
0.37
0.58
0.67
0.41
0.48
0.43
0.46
0.39
0.20
0.44
0.14
0.32
0.23
0.42
0.39
0.50
0.44
0.01
0.10
0.47
0.43
0.26
0.20
0.60
0.49
0.52
0.55
0.39
0.44
0.12
0.45
0.11
0.52
0.74
0.48
0.39
0.55
0.62
0.42
0.52
0.43
0.12
0.34
-0.08
0.22
0.32
0.21
0.51
0.28
0.35
0.46
0.35
0.40
0.30
0.14
0.11
0.47
0.36
0.42
0.64
0.10
0.56
0.09
0.15
0.32
0.33
0.55
0.58
0.39
0.46
0.51
0.41
0.46
0.51
0.27
0.04
0.68
0.18
0.37
0.53
0.18
0.27
0.37
0.17
0.44
0.49
0.07
0.12
0.36
0.28
0.39
0.24
0.54
0.47
0.36
0.42
0.30
0.42
0.42
0.51
0.64
0.50
0.21
0.33
0.30
0.58
0.78
0.48
0.55
0.57
0.19
0.48
0.44
0.50
0.42
0.16
0.27
0.53
0.38
0.05
0.06
0.64
0.32
0.50
0.48
0.45
0.30
0.32
0.08
0.10
0.36
0.04
0.50
0.62
0.39
0.57
0.32
0.33
0.54
0.37
0.50
0.51
0.58
0.37
0.25
0.61
0.32
0.47
0.42
0.28
0.27
0.31
0.31
0.36
0.33
0.49
0.37
0.29
0.39
0.36
0.30
0.36
0.40
0.39
0.06
0.38
0.22
0.38
0.29
0.45
0.37
0.28
0.40
0.41
0.53
0.35
0.20
0.63
0.18
0.12
-0.11
0.36
0.27
0.46
0.46
0.42
0.17
0.36
0.44
0.32
0.16
0.12
